jobID,jobTitle,positionName,positionType,estimatedWage,jobCity,jobState,locationFilterUsedInSearch,rating,companySize,companyRevenue,companyIndustryField,companyWebsite,companyType,companyCompetitors,companyHeadQuarter,foundedTime,QUANTI_statistics,QUANTI_mathematics,QUANTI_probability,QUANTI_linear algebra,SCR_Python,SCR_R,SCR_Java,SCR_JavaScript,SCR_C++,SCR_C,SCR_Matlab,SCR_Pearl,SCR_C#,CS_algorithm,CS_data structure,CS_data wrangling,CS_Data warehousing,CS_data mining,CS_VBA,CS_SAS,CS_distributed computing,CS_parallel computing,CS_format conversion,CS_HTML,CS_pandas,DB_sql,DB_nosql,DB_access,DB_teradata,DB_oracle database,ML_NLP,ML_deep learning,ML_machine learning,ML_computer vision,ML_tensorflow,ML_scikit-learn,SW_aws,SW_linux,SW_google cloud,SW_azure,SW_redshift,SW_git,SW_server,SW_api,BD_hadoop,BD_scala,BD_apache,BD_hive,BD_D3,BD_big data,BD_spark,VISUAL_excel,VISUAL_tableau,VISUAL_ggplot,VISUAL_plotly,VISUAL_matplotlib,VISUAL_chartio,VISUAL_data visualization,VISUAL_powerpivot,experience,DK_economics,DK_healthcare,DK_business,DK_finance,DK_management,DK_customer service,DK_marketing,COMM_presentation,COMM_verbal,COMM_writting,COMM_interpersonal skills,degree requirment,computer science,data science,electrical engineering,statistics,mathematics,physics,finance,informatics
2541444700,Machine Learning Engineer/Data Scientist - Ads Targeting & Modeling,Data Scientist,Intern,,San Francisco,CA,San Fransisco,,1001 to 5000 employees, $2 to $5 billion (USD) per year, Information Technology,www.twitter.com, Company - Public (TWTR) ," Facebook, Google, Pinterest","San Francisco, CA", 2006,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2-5 years,0,0,1,0,0,0,0,0,0,0,0,Doctor,1,0,0,1,1,0,0,0
2670188275,Data Scientist,Data Scientist,Fulltime,107000.0,Beverly,MA,Boston,3.6,10000+ employees, $1 to $5 million (USD) per year, Manufacturing,www.osram-group.com, Subsidiary or Business Segment,,"München, Germany", 1906,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2-5 years,0,0,1,0,1,0,0,0,0,0,0,Master,1,1,0,1,1,1,0,0
2794223884,Sr Data Scientist,Data Scientist,Intern,137000.0,Wellesley,MA,Boston,3.3,10000+ employees, $10+ billion (USD) per year, Insurance,www.aetna.com, Company - Public (AET) ,,"Hartford, CT", 1853,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,2-5 years,0,1,1,0,0,0,0,1,1,0,0,Master,0,1,0,0,1,0,0,0
2830886885,Reporting Data Analyst,Data Analyst,Intern,88000.0,Palo Alto,CA,San Jose,4.2,10000+ employees, $5 to $10 billion (USD) per year, Information Technology,www.vmware.com, Company - Public (VMW) ,,"Palo Alto, CA", 1998,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,no prior experience required/mentioned,0,0,1,0,1,0,0,1,1,1,0,Bachelor,1,0,0,0,0,0,0,0
2780764476,Supply Chain Data Analyst,Data Analyst,Intern,,Wilmington,MA,Boston ,,1 to 50 employees, $5 to $10 million (USD) per year,,www.cutispharma.com, Company - Private,,"Wilmington, MA",,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1-2 years,0,1,1,0,1,0,0,0,0,1,0,Bachelor,0,0,0,0,0,0,1,0
2573496421,Data Scientist,Data Scientist,Fulltime,143000.0,San Francisco,CA,San Fransisco,3.2,201 to 500 employees, $500 million to $1 billion (USD) per year, Retail,www.wish.com, Company - Private,,"San Francisco, CA", 2011,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1-2 years,1,0,1,0,0,0,0,0,0,0,0,no degree requirement mentioned,0,0,0,1,1,0,0,0
2675188241,Data Science Intern - QuantumBlack,Data Analyst,Intern,,Boston,MA,Boston ,,10000+ employees,, Business Services,www.mckinsey.com, Company - Private," Boston Consulting Group, Bain & Company, Strategy&","New York, NY", 1926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no prior experience required/mentioned,0,0,1,0,0,0,0,0,0,0,0,Doctor,0,1,0,1,1,0,0,0
2829964822,Data Analyst/Engineer,Data Analyst,Intern,,Boston,MA,Boston ,,1 to 50 employees, $10 to $25 million (USD) per year, Business Services,www.daleyaa.com, Company - Private,,"Boston, MA", 2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2-5 years,0,0,1,0,1,0,0,0,0,0,0,Bachelor,0,0,0,0,0,0,0,0
2817743069,Data Scientist / Business Analytics and Optimization Consultant,Data Scientist,Intern,116000.0,Boston,MA,Boston,3.6,10000+ employees, $10+ billion (USD) per year,,www.ibm.com, Company - Public (IBM) ," Amazon, Accenture, Microsoft","Armonk, NY", 1911,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2-5 years,0,0,1,0,0,0,1,0,0,0,0,Master,1,1,0,1,1,0,0,0
2662386911,Health Data Analyst,Data Analyst,Intern,60000.0,San Diego,CA,San Diego,2.6,1001 to 5000 employees, $10 to $25 million (USD) per year, Business Services,www.medimpact.com, Company - Private,,"San Diego, CA", 1989,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,no prior experience required/mentioned,0,1,0,0,1,0,0,0,0,1,0,Master,0,0,0,1,0,0,0,0
2631702494,Data Scientist,Data Scientist,Intern,,Woodland Hills,CA,Los Angeles,,10000+ employees,, Finance,www.saahp.com, Company - Public,,"Los Angeles, CA",,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no prior experience required/mentioned,0,0,1,0,0,0,0,0,1,0,0,no degree requirement mentioned,0,0,0,0,0,0,1,0
2809886682,Business Data Analyst ll,Data Analyst,Intern,80000.0,Menlo Park,CA,San Jose,3.1,501 to 1000 employees, $100 to $500 million (USD) per year, Information Technology,www.milestonepowered.com, Company - Private," World Wide Technology, Accenture, Taos","Fremont, CA", 1997,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,2-5 years,1,0,1,0,1,0,0,0,0,0,1,Bachelor,1,0,0,1,1,0,0,0
2677618465,Principal Data Scientist (Prin DPS Analyst),Data Scientist,Fulltime,,Boston,MA,Boston,,201 to 500 employees,, Government,www.boston.gov/departments/innovation-and-technology, Government,,"Boston, MA",,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,no prior experience required/mentioned,1,0,1,0,1,0,0,0,0,0,0,Bachelor,1,1,0,1,1,0,0,0
2767949594,Data Analyst,Data Analyst,Intern,,South San Francisco,CA,San Fransisco,,1 to 50 employees,, Business Services,www.advancedtalent.com, Company - Private," TEKsystems, Robert Half","Burlingame, CA", 1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,no prior experience required/mentioned,0,0,1,0,1,0,0,0,1,0,1,no degree requirement mentioned,0,0,0,0,0,0,0,0
2828991393,Data Analyst,Data Analyst,Fulltime,57000.0,New York,NY,New York City,3.7,501 to 1000 employees, $100 to $500 million (USD) per year, Non-Profit,www.healthsolutions.org, Nonprofit Organization,,"New York, NY", 1957,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1-2 years,0,0,0,0,0,0,0,0,0,0,0,Master,0,0,0,1,0,0,0,0
2814814630,Senior/Principal Digital Health Platforms Data Scientist (PHC),Data Scientist,Intern,159000.0,South San Francisco,CA,San Fransisco,3.8,10000+ employees, $10+ billion (USD) per year, Biotech & Pharmaceuticals,www.roche.com/de, Company - Public (RHHBY) ," Novartis, AstraZeneca","Basel, Switzerland", 1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no prior experience required/mentioned,0,0,0,0,0,0,0,0,0,0,0,no degree requirement mentioned,0,0,0,0,0,0,0,0
